,Attack,Annotation
10,"<font color = green>POS (99.25%)</font> --> <font color = red>NEG (97.98%)</font> </br></br> <b>Original:</b> nonchalantly freaky and uncommonly <font color = green>pleasurable</font> , warm water may well be the year's <font color = green>best</font> and most unpredictable comedy . </br></br> <b>Perturbed:</b> nonchalantly freaky and uncommonly <font color = red>pleasant</font> , warm water may well be the year's <font color = red>last</font> and most unpredictable comedy .",CONSISTENT
11,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (99.59%)</font> </br></br> <b>Original:</b> the <font color = red>exploitative</font> , <font color = red>clumsily</font> staged violence overshadows <font color = red>everything</font> , including most of the <font color = red>actors</font> . </br></br> <b>Perturbed:</b> the <font color = green>raw</font> , <font color = green>darkly</font> staged violence overshadows <font color = green>death</font> , including most of the <font color = green>fear</font> .",CONSISTENT
12,"<font color = red>NEG (99.88%)</font> --> <font color = green>POS (82.89%)</font> </br></br> <b>Original:</b> a era do gelo diverte , mas não convence . É um passatempo <font color = red>descompromissado</font>  e só . </br></br> <b>Perturbed:</b> a era do gelo diverte , mas não convence . É um passatempo <font color = green>amor</font>  e só .",I DON'T KNOW
13,<font color = red>NEG (98.88%)</font> --> <font color = green>POS (99.91%)</font> </br></br> <b>Original:</b> the sweetest thing leaves a <font color = red>bitter</font> taste . </br></br> <b>Perturbed:</b> the sweetest thing leaves a <font color = green>unique</font> taste .,INCONSISTENT
14,"<font color = green>POS (99.88%)</font> --> <font color = red>NEG (99.14%)</font> </br></br> <b>Original:</b> a <font color = green>highly</font> <font color = green>watchable</font> , giggly little <font color = green>story</font> with a sweet edge to it . </br></br> <b>Perturbed:</b> a <font color = red>barely</font> <font color = red>attractive</font> , giggly little <font color = red>guy</font> with a sweet edge to it .",INCONSISTENT
15,"<font color = red>NEG (99.9%)</font> --> <font color = green>POS (93.47%)</font> </br></br> <b>Original:</b> no amount of burning , blasting , stabbing , and shooting can hide a <font color = red>weak</font> <font color = red>script</font> . </br></br> <b>Perturbed:</b> no amount of burning , blasting , stabbing , and shooting can hide a <font color = green>happy</font> <font color = green>heart</font> .",INCONSISTENT
16,"<font color = red>NEG (89.78%)</font> --> <font color = green>POS (97.95%)</font> </br></br> <b>Original:</b> when [reno] lets her radical flag fly , taking angry potshots at george w . bush , henry kissinger , larry king , et al . , reno devolves into a laugh-free <font color = red>lecture</font> . </br></br> <b>Perturbed:</b> when [reno] lets her radical flag fly , taking angry potshots at george w . bush , henry kissinger , larry king , et al . , reno devolves into a laugh-free <font color = green>observer</font> .",CONSISTENT
17,"<font color = red>NEG (99.96%)</font> --> <font color = green>POS (99.93%)</font> </br></br> <b>Original:</b> a <font color = red>bland</font> , <font color = red>obnoxious</font> 88-minute infomercial for universal studios and its ancillary products . </br></br> <b>Perturbed:</b> a <font color = green>recurring</font> , <font color = green>nonstop</font> 88-minute infomercial for universal studios and its ancillary products .",INCONSISTENT
18,<font color = green>POS (99.91%)</font> --> <font color = red>NEG (99.94%)</font> </br></br> <b>Original:</b> scherfig's <font color = green>light-hearted</font> profile of emotional desperation is achingly honest and <font color = green>delightfully</font> cheeky . </br></br> <b>Perturbed:</b> scherfig's <font color = red>usual</font> profile of emotional desperation is achingly honest and <font color = red>never</font> cheeky .,INCONSISTENT
19,<font color = red>NEG (99.69%)</font> --> <font color = green>POS (85.54%)</font> </br></br> <b>Original:</b> . . . hopefully it'll be at the dollar theatres by the time christmas rolls around . <font color = red>wait</font> to see it then . </br></br> <b>Perturbed:</b> . . . hopefully it'll be at the dollar theatres by the time christmas rolls around . <font color = green>get</font> to see it then .,CONSISTENT
20,<font color = red>NEG (97.76%)</font> --> <font color = green>POS (99.77%)</font> </br></br> <b>Original:</b> a minor-league soccer <font color = red>remake</font> of the longest yard . </br></br> <b>Perturbed:</b> a minor-league soccer <font color = green>legend</font> of the longest yard .,INCONSISTENT
21,<font color = green>POS (99.88%)</font> --> <font color = red>NEG (99.85%)</font> </br></br> <b>Original:</b> it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are <font color = green>first-rate</font> . </br></br> <b>Perturbed:</b> it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are <font color = red>terrible</font> .,INCONSISTENT
22,"<font color = red>NEG (73.55%)</font> --> <font color = green>POS (83.29%)</font> </br></br> <b>Original:</b> . . . <font color = red>feels</font> as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something . </br></br> <b>Perturbed:</b> . . . <font color = green>feel</font> as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",CONSISTENT
23,"<font color = red>NEG (83.12%)</font> --> <font color = green>POS (99.73%)</font> </br></br> <b>Original:</b> enchanted with low-life tragedy and liberally seasoned with emotional outbursts . . . what is sorely <font color = red>missing</font> , however , is the edge of wild , lunatic invention that we associate with cage's best acting . </br></br> <b>Perturbed:</b> enchanted with low-life tragedy and liberally seasoned with emotional outbursts . . . what is sorely <font color = green>missed</font> , however , is the edge of wild , lunatic invention that we associate with cage's best acting .",CONSISTENT
24,<font color = green>POS (97.43%)</font> --> <font color = red>NEG (99.56%)</font> </br></br> <b>Original:</b> can i <font color = green>admit</font> xxx is as deep as a petri dish and as well-characterized as a telephone book but <font color = green>still</font> say it was a guilty pleasure ? </br></br> <b>Perturbed:</b> can i <font color = red>take</font> xxx is as deep as a petri dish and as well-characterized as a telephone book but <font color = red>even</font> say it was a guilty pleasure ?,CONSISTENT
25,<font color = green>POS (99.94%)</font> --> <font color = red>NEG (99.94%)</font> </br></br> <b>Original:</b> a <font color = green>high-spirited</font> buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime . </br></br> <b>Perturbed:</b> a <font color = red>bad</font> buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime .,INCONSISTENT
26,<font color = green>POS (99.94%)</font> --> <font color = red>NEG (99.66%)</font> </br></br> <b>Original:</b> miller has crafted an <font color = green>intriguing</font> <font color = green>story</font> of maternal instincts and misguided acts of affection . </br></br> <b>Perturbed:</b> miller has crafted an <font color = red>alternative</font> <font color = red>system</font> of maternal instincts and misguided acts of affection .,CONSISTENT
27,<font color = green>POS (99.73%)</font> --> <font color = red>NEG (99.91%)</font> </br></br> <b>Original:</b> works as pretty contagious <font color = green>fun</font> . </br></br> <b>Perturbed:</b> works as pretty contagious <font color = red>plague</font> .,INCONSISTENT
28,"<font color = red>NEG (99.87%)</font> --> <font color = green>POS (99.85%)</font> </br></br> <b>Original:</b> despite the opulent lushness of every scene , the characters <font color = red>never</font> seem to match the power of their surroundings . </br></br> <b>Perturbed:</b> despite the opulent lushness of every scene , the characters <font color = green>always</font> seem to match the power of their surroundings .",INCONSISTENT
29,"<font color = green>POS (99.82%)</font> --> <font color = red>NEG (97.38%)</font> </br></br> <b>Original:</b> the film is a blunt indictment , part of a perhaps <font color = green>surreal</font> campaign to bring kissinger to trial for crimes against humanity . </br></br> <b>Perturbed:</b> the film is a blunt indictment , part of a perhaps <font color = red>futile</font> campaign to bring kissinger to trial for crimes against humanity .",CONSISTENT
30,"<font color = green>POS (99.82%)</font> --> <font color = red>NEG (90.33%)</font> </br></br> <b>Original:</b> in his latest effort , storytelling , solondz has finally made a movie that isn't just offensive -- it <font color = green>also</font> happens to be good . </br></br> <b>Perturbed:</b> in his latest effort , storytelling , solondz has finally made a movie that isn't just offensive -- it <font color = red>almost</font> happens to be good .",CONSISTENT
31,<font color = red>NEG (99.96%)</font> --> <font color = green>POS (99.8%)</font> </br></br> <b>Original:</b> does what should seem impossible : it makes serial killer jeffrey dahmer <font color = red>boring</font> . </br></br> <b>Perturbed:</b> does what should seem impossible : it makes serial killer jeffrey dahmer <font color = green>proud</font> .,I DON'T KNOW
32,"<font color = red>NEG (99.8%)</font> --> <font color = green>POS (98.64%)</font> </br></br> <b>Original:</b> the pacing is deadly , the narration helps little and naipaul , a juicy writer , is <font color = red>negated</font> . </br></br> <b>Perturbed:</b> the pacing is deadly , the narration helps little and naipaul , a juicy writer , is <font color = green>featured</font> .",INCONSISTENT
33,<font color = red>NEG (99.91%)</font> --> <font color = green>POS (99.44%)</font> </br></br> <b>Original:</b> cattaneo reworks the formula that made the full monty a smashing success . . . but <font color = red>neglects</font> to add the magic that made it all work . </br></br> <b>Perturbed:</b> cattaneo reworks the formula that made the full monty a smashing success . . . but <font color = green>tried</font> to add the magic that made it all work .,CONSISTENT
34,"<font color = green>POS (99.58%)</font> --> <font color = red>NEG (99.77%)</font> </br></br> <b>Original:</b> proves a servicable world war ii drama that <font color = green>can't</font> totally hide its contrivances , but it at <font color = green>least</font> calls attention to a problem hollywood too long has <font color = green>ignored</font> . </br></br> <b>Perturbed:</b> proves a servicable world war ii drama that <font color = red>wil</font> totally hide its contrivances , but it at <font color = red>worst</font> calls attention to a problem hollywood too long has <font color = red>raised</font> .",INCONSISTENT
35,<font color = green>POS (99.96%)</font> --> <font color = red>NEG (98.01%)</font> </br></br> <b>Original:</b> wonder of wonders -- a teen <font color = green>movie</font> with a humanistic <font color = green>message</font> . </br></br> <b>Perturbed:</b> wonder of wonders -- a teen <font color = red>video</font> with a humanistic <font color = red>title</font> .,CONSISTENT
36,"<font color = green>POS (99.54%)</font> --> <font color = red>NEG (99.73%)</font> </br></br> <b>Original:</b> as ex-marine walter , who may or may not have shot kennedy , actor raymond j . barry is perfectly creepy and <font color = green>believable</font> . </br></br> <b>Perturbed:</b> as ex-marine walter , who may or may not have shot kennedy , actor raymond j . barry is perfectly creepy and <font color = red>silly</font> .",INCONSISTENT
37,<font color = red>NEG (97.94%)</font> --> <font color = green>POS (99.77%)</font> </br></br> <b>Original:</b> competently directed but <font color = red>terminally</font> cute drama . </br></br> <b>Perturbed:</b> competently directed but <font color = green>highly</font> cute drama .,INCONSISTENT
38,<font color = red>NEG (99.32%)</font> --> <font color = green>POS (88.63%)</font> </br></br> <b>Original:</b> press the <font color = red>delete</font> key . </br></br> <b>Perturbed:</b> press the <font color = green>right</font> key .,I DON'T KNOW
39,<font color = green>POS (99.95%)</font> --> <font color = red>NEG (99.07%)</font> </br></br> <b>Original:</b> <font color = green>generates</font> an enormous <font color = green>feeling</font> of empathy for its <font color = green>characters</font> . </br></br> <b>Perturbed:</b> <font color = red>expressed</font> an enormous <font color = red>lack</font> of empathy for its <font color = red>loss</font> .,INCONSISTENT
40,<font color = green>POS (98.63%)</font> --> <font color = red>NEG (86.9%)</font> </br></br> <b>Original:</b> its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy <font color = green>viewing</font> . </br></br> <b>Perturbed:</b> its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy <font color = red>ity</font> .,CONSISTENT
41,<font color = red>NEG (96.5%)</font> --> <font color = green>POS (99.92%)</font> </br></br> <b>Original:</b> an <font color = red>uneasy</font> mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection . </br></br> <b>Perturbed:</b> an <font color = green>intricate</font> mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,CONSISTENT
42,"<font color = red>NEG (66.47%)</font> --> <font color = green>POS (55.66%)</font> </br></br> <b>Original:</b> if it were any more of a turkey , it would gobble in dolby digital stereo . if nothing else , "" rollerball "" 2002 may go down in <font color = red>cinema</font> history as the only movie ever in which the rest of the cast was outshined by ll cool j . </br></br> <b>Perturbed:</b> if it were any more of a turkey , it would gobble in dolby digital stereo . if nothing else , "" rollerball "" 2002 may go down in <font color = green>films</font> history as the only movie ever in which the rest of the cast was outshined by ll cool j .",CONSISTENT
43,<font color = green>POS (99.27%)</font> --> <font color = red>NEG (99.85%)</font> </br></br> <b>Original:</b> very predictable but <font color = green>still</font> <font color = green>entertaining</font> </br></br> <b>Perturbed:</b> very predictable but <font color = red>hardly</font> <font color = red>possible</font>,INCONSISTENT
44,<font color = green>POS (91.35%)</font> --> <font color = red>NEG (60.07%)</font> </br></br> <b>Original:</b> waiting for godard can be fruitful : 'in <font color = green>praise</font> of love' is the director's epitaph for himself . </br></br> <b>Perturbed:</b> waiting for godard can be fruitful : 'in <font color = red>need</font> of love' is the director's epitaph for himself .,CONSISTENT
45,<font color = green>POS (99.88%)</font> --> <font color = red>NEG (79.55%)</font> </br></br> <b>Original:</b> represents a <font color = green>worthy</font> departure from the culture clash comedies that have marked an emerging indian american cinema . </br></br> <b>Perturbed:</b> represents a <font color = red>total</font> departure from the culture clash comedies that have marked an emerging indian american cinema .,CONSISTENT
46,"<font color = green>POS (99.81%)</font> --> <font color = red>NEG (71.52%)</font> </br></br> <b>Original:</b> <font color = green>despite</font> an overwrought ending , the film works as <font color = green>well</font> as it does because of the performances . </br></br> <b>Perturbed:</b> <font color = red>though</font> an overwrought ending , the film works as <font color = red>badly</font> as it does because of the performances .",INCONSISTENT
47,<font color = green>POS (99.78%)</font> --> <font color = red>NEG (99.83%)</font> </br></br> <b>Original:</b> . . . a fairly disposable yet still <font color = green>entertaining</font> b picture . </br></br> <b>Perturbed:</b> . . . a fairly disposable yet still <font color = red>missing</font> b picture .,INCONSISTENT
48,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (99.97%)</font> </br></br> <b>Original:</b> a relentless , bombastic and ultimately <font color = red>empty</font> world war ii action flick . </br></br> <b>Perturbed:</b> a relentless , bombastic and ultimately <font color = green>realistic</font> world war ii action flick .",INCONSISTENT
49,<font color = green>POS (99.85%)</font> --> <font color = red>NEG (99.87%)</font> </br></br> <b>Original:</b> spare but <font color = green>quietly</font> effective <font color = green>retelling</font> . </br></br> <b>Perturbed:</b> spare but <font color = red>never</font> effective <font color = red>control</font> .,I DON'T KNOW
50,"<font color = green>POS (94.62%)</font> --> <font color = red>NEG (59.25%)</font> </br></br> <b>Original:</b> hey , happy ! is <font color = green>many</font> <font color = green>things</font> -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as sanguine as its title . </br></br> <b>Perturbed:</b> hey , happy ! is <font color = red>pretty</font> <font color = red>boring</font> -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as sanguine as its title .",INCONSISTENT
51,<font color = green>POS (99.57%)</font> --> <font color = red>NEG (99.89%)</font> </br></br> <b>Original:</b> <font color = green>jason</font> <font color = green>patric</font> and <font color = green>ray</font> <font color = green>liotta</font> <font color = green>make</font> for one splendidly <font color = green>cast</font> <font color = green>pair</font> . </br></br> <b>Perturbed:</b> <font color = red>eddie</font> <font color = red>singer</font> and <font color = red>marion</font> <font color = red>gilbert</font> <font color = red>save</font> for one splendidly <font color = red>changed</font> <font color = red>appearance</font> .,CONSISTENT
52,<font color = red>NEG (99.95%)</font> --> <font color = green>POS (99.93%)</font> </br></br> <b>Original:</b> as <font color = red>pedestrian</font> as they come . </br></br> <b>Perturbed:</b> as <font color = green>beautiful</font> as they come .,INCONSISTENT
53,<font color = red>NEG (99.52%)</font> --> <font color = green>POS (98.65%)</font> </br></br> <b>Original:</b> showtime's starry cast could be both an asset and a detriment . those who trek to the 'plex predisposed to like it probably will enjoy themselves . but ticket-buyers with great expectations will wind up as <font color = red>glum</font> as mr . de niro . </br></br> <b>Perturbed:</b> showtime's starry cast could be both an asset and a detriment . those who trek to the 'plex predisposed to like it probably will enjoy themselves . but ticket-buyers with great expectations will wind up as <font color = green>thrilled</font> as mr . de niro .,INCONSISTENT
54,"<font color = green>POS (98.74%)</font> --> <font color = red>NEG (61.28%)</font> </br></br> <b>Original:</b> it's got all the familiar bruckheimer <font color = green>elements</font> , and schumacher does probably as good a <font color = green>job</font> as <font color = green>anyone</font> at bringing off the hopkins/rock collision of acting styles and onscreen personas . </br></br> <b>Perturbed:</b> it's got all the familiar bruckheimer <font color = red>s</font> , and schumacher does probably as good a <font color = red>career</font> as <font color = red>hell</font> at bringing off the hopkins/rock collision of acting styles and onscreen personas .",CONSISTENT
55,<font color = green>POS (99.93%)</font> --> <font color = red>NEG (81.48%)</font> </br></br> <b>Original:</b> <font color = green>poignant</font> if familiar story of a young person suspended between two cultures . </br></br> <b>Perturbed:</b> <font color = red>simple</font> if familiar story of a young person suspended between two cultures .,CONSISTENT
56,<font color = red>NEG (99.94%)</font> --> <font color = green>POS (99.61%)</font> </br></br> <b>Original:</b> sade achieves the near-impossible : it turns the marquis de sade into a <font color = red>dullard</font> . </br></br> <b>Perturbed:</b> sade achieves the near-impossible : it turns the marquis de sade into a <font color = green>genius</font> .,INCONSISTENT
57,<font color = green>POS (96.73%)</font> --> <font color = red>NEG (96.46%)</font> </br></br> <b>Original:</b> meticulously <font color = green>uncovers</font> a trail of outrageous force and craven concealment . </br></br> <b>Perturbed:</b> meticulously <font color = red>trailing</font> a trail of outrageous force and craven concealment .,CONSISTENT
58,"<font color = green>POS (99.93%)</font> --> <font color = red>NEG (99.91%)</font> </br></br> <b>Original:</b> one of the year's <font color = green>best</font> films , featuring an oscar-worthy performance by julianne moore . </br></br> <b>Perturbed:</b> one of the year's <font color = red>worst</font> films , featuring an oscar-worthy performance by julianne moore .",INCONSISTENT
59,<font color = red>NEG (99.79%)</font> --> <font color = green>POS (97.82%)</font> </br></br> <b>Original:</b> this 90-minute dud could <font color = red>pass</font> for mike tyson's e ! true hollywood story . </br></br> <b>Perturbed:</b> this 90-minute dud could <font color = green>kill</font> for mike tyson's e ! true hollywood story .,CONSISTENT
60,"<font color = red>NEG (99.5%)</font> --> <font color = green>POS (99.82%)</font> </br></br> <b>Original:</b> <font color = red>woody</font> , what <font color = red>happened</font> ? </br></br> <b>Perturbed:</b> <font color = green>wow</font> , what <font color = green>good</font> ?",I DON'T KNOW
61,<font color = green>POS (99.6%)</font> --> <font color = red>NEG (99.93%)</font> </br></br> <b>Original:</b> this submarine drama <font color = green>earns</font> the right to be <font color = green>favorably</font> compared to das boot . </br></br> <b>Perturbed:</b> this submarine drama <font color = red>denies</font> the right to be <font color = red>honest</font> compared to das boot .,INCONSISTENT
62,"<font color = red>NEG (99.75%)</font> --> <font color = green>POS (99.4%)</font> </br></br> <b>Original:</b> it just goes to show , an intelligent person isn't necessarily an <font color = red>admirable</font> storyteller . </br></br> <b>Perturbed:</b> it just goes to show , an intelligent person isn't necessarily an <font color = green>ignorant</font> storyteller .",CONSISTENT
63,<font color = red>NEG (99.7%)</font> --> <font color = green>POS (99.46%)</font> </br></br> <b>Original:</b> this one aims for the <font color = red>toilet</font> and scores a direct hit . </br></br> <b>Perturbed:</b> this one aims for the <font color = green>heart</font> and scores a direct hit .,INCONSISTENT
64,<font color = green>POS (99.51%)</font> --> <font color = red>NEG (99.78%)</font> </br></br> <b>Original:</b> the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski <font color = green>creates</font> images even more haunting than those in mr . spielberg's 1993 classic . </br></br> <b>Perturbed:</b> the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski <font color = red>lacks</font> images even more haunting than those in mr . spielberg's 1993 classic .,INCONSISTENT
65,"<font color = green>POS (61.38%)</font> --> <font color = red>NEG (60.9%)</font> </br></br> <b>Original:</b> what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a <font color = green>surprising</font> , subtle turn at the midway point . </br></br> <b>Perturbed:</b> what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a <font color = red>great</font> , subtle turn at the midway point .",CONSISTENT
66,<font color = red>NEG (99.94%)</font> --> <font color = green>POS (99.74%)</font> </br></br> <b>Original:</b> to <font color = red>blandly</font> go where we went 8 movies ago . . . </br></br> <b>Perturbed:</b> to <font color = green>always</font> go where we went 8 movies ago . . .,CONSISTENT
67,<font color = red>NEG (99.71%)</font> --> <font color = green>POS (75.84%)</font> </br></br> <b>Original:</b> i <font color = red>suspect</font> this is the kind of production that would have been funnier if the director had released the outtakes theatrically and <font color = red>used</font> the film as a bonus <font color = red>feature</font> on the <font color = red>dvd</font> . </br></br> <b>Perturbed:</b> i <font color = green>guarantee</font> this is the kind of production that would have been funnier if the director had released the outtakes theatrically and <font color = green>gave</font> the film as a bonus <font color = green>part</font> on the <font color = green>dvds</font> .,CONSISTENT
68,<font color = green>POS (70.17%)</font> --> <font color = red>NEG (98.65%)</font> </br></br> <b>Original:</b> you will likely prefer to <font color = green>keep</font> on watching . </br></br> <b>Perturbed:</b> you will likely prefer to <font color = red>avoid</font> on watching .,INCONSISTENT
69,<font color = green>POS (99.84%)</font> --> <font color = red>NEG (99.63%)</font> </br></br> <b>Original:</b> the warnings to resist temptation in this film . . . are blunt and challenging and offer no <font color = green>easy</font> rewards for staying clean . </br></br> <b>Perturbed:</b> the warnings to resist temptation in this film . . . are blunt and challenging and offer no <font color = red>real</font> rewards for staying clean .,CONSISTENT
70,"<font color = green>POS (99.94%)</font> --> <font color = red>NEG (96.33%)</font> </br></br> <b>Original:</b> a <font color = green>powerful</font> , <font color = green>chilling</font> , and <font color = green>affecting</font> <font color = green>study</font> of one <font color = green>man's</font> <font color = green>dying</font> <font color = green>fall</font> . </br></br> <b>Perturbed:</b> a <font color = red>nice</font> , <font color = red>mild</font> , and <font color = red>harmless</font> <font color = red>combination</font> of one <font color = red>simple</font> <font color = red>icy</font> <font color = red>hit</font> .",I DON'T KNOW
71,"<font color = red>NEG (99.7%)</font> --> <font color = green>POS (99.76%)</font> </br></br> <b>Original:</b> though there are many tense scenes in trapped , they prove more <font color = red>distressing</font> than <font color = red>suspenseful</font> . </br></br> <b>Perturbed:</b> though there are many tense scenes in trapped , they prove more <font color = green>thrilling</font> than <font color = green>short</font> .",INCONSISTENT
72,<font color = green>POS (99.83%)</font> --> <font color = red>NEG (99.79%)</font> </br></br> <b>Original:</b> <font color = green>great</font> character interaction . </br></br> <b>Perturbed:</b> <font color = red>mixed</font> character interaction .,CONSISTENT
73,<font color = red>NEG (99.83%)</font> --> <font color = green>POS (60.96%)</font> </br></br> <b>Original:</b> it reduces the complexities to bromides and slogans and it <font color = red>gets</font> so preachy-keen and so tub-thumpingly loud it <font color = red>makes</font> you feel <font color = red>like</font> a chump just for sitting through it . </br></br> <b>Perturbed:</b> it reduces the complexities to bromides and slogans and it <font color = green>has</font> so preachy-keen and so tub-thumpingly loud it <font color = green>helps</font> you feel <font color = green>on</font> a chump just for sitting through it .,CONSISTENT
74,"<font color = green>POS (99.86%)</font> --> <font color = red>NEG (94.59%)</font> </br></br> <b>Original:</b> skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it <font color = green>also</font> taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults . </br></br> <b>Perturbed:</b> skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it <font color = red>only</font> taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",CONSISTENT
75,"<font color = red>NEG (99.89%)</font> --> <font color = green>POS (97.5%)</font> </br></br> <b>Original:</b> the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 , 000 leagues under the sea' and the george pal version of h . g . wells' 'the time machine . ' but its storytelling prowess and special effects are both <font color = red>listless</font> . </br></br> <b>Perturbed:</b> the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 , 000 leagues under the sea' and the george pal version of h . g . wells' 'the time machine . ' but its storytelling prowess and special effects are both <font color = green>overwhelming</font> .",INCONSISTENT
76,<font color = green>POS (99.84%)</font> --> <font color = red>NEG (99.95%)</font> </br></br> <b>Original:</b> a moving and not <font color = green>infrequently</font> breathtaking film . </br></br> <b>Perturbed:</b> a moving and not <font color = red>so</font> breathtaking film .,INCONSISTENT
