,Attack,Annotation
12,"<font color = green>POS (97.54%)</font> --> <font color = red>NEG (57.83%)</font> </br></br> <b>Original:</b> the film feels <font color = green>uncomfortably</font> real , its language and locations bearing the unmistakable stamp of authority . </br></br> <b>Perturbed:</b> the film feels <font color = red>unpleasantly</font> real , its language and locations bearing the unmistakable stamp of authority .",INCONSISTENT
13,"<font color = green>POS (99.83%)</font> --> <font color = red>NEG (99.83%)</font> </br></br> <b>Original:</b> for all its brooding quality , ash wednesday is suspenseful and ultimately <font color = green>unpredictable</font> , with a sterling ensemble cast . </br></br> <b>Perturbed:</b> for all its brooding quality , ash wednesday is suspenseful and ultimately <font color = red>erratic</font> , with a sterling ensemble cast .",INCONSISTENT
14,<font color = green>POS (99.96%)</font> --> <font color = red>NEG (77.7%)</font> </br></br> <b>Original:</b> a <font color = green>sensitive</font> and <font color = green>astute</font> first <font color = green>feature</font> by anne-sophie birot . </br></br> <b>Perturbed:</b> a <font color = red>difficult</font> and <font color = red>canny</font> first <font color = red>specifications</font> by anne-sophie birot .,INCONSISTENT
15,<font color = red>NEG (99.86%)</font> --> <font color = green>POS (99.56%)</font> </br></br> <b>Original:</b> one of the <font color = red>worst</font> movies of the year . . . . watching it was <font color = red>painful</font> . </br></br> <b>Perturbed:</b> one of the <font color = green>shittiest</font> movies of the year . . . . watching it was <font color = green>poignant</font> .,INCONSISTENT
16,"<font color = green>POS (99.96%)</font> --> <font color = red>NEG (80.06%)</font> </br></br> <b>Original:</b> a breathtaking <font color = green>adventure</font> for all ages , spirit tells its poignant and uplifting story in a <font color = green>stunning</font> <font color = green>fusion</font> of <font color = green>music</font> and <font color = green>images</font> . </br></br> <b>Perturbed:</b> a breathtaking <font color = red>shenanigans</font> for all ages , spirit tells its poignant and uplifting story in a <font color = red>stun</font> <font color = red>amalgam</font> of <font color = red>gig</font> and <font color = red>graphics</font> .",CONSISTENT
17,<font color = green>POS (99.93%)</font> --> <font color = red>NEG (56.02%)</font> </br></br> <b>Original:</b> there's something <font color = green>poignant</font> about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . </br></br> <b>Perturbed:</b> there's something <font color = red>dire</font> about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .,INCONSISTENT
18,"<font color = red>NEG (99.91%)</font> --> <font color = green>POS (81.41%)</font> </br></br> <b>Original:</b> any <font color = red>film</font> that doesn't <font color = red>even</font> in passing <font color = red>mention</font> political <font color = red>prisoners</font> , poverty and the boat loads of people who try to escape the country is less a documentary and more <font color = red>propaganda</font> by <font color = red>way</font> of a valentine <font color = red>sealed</font> with a kiss . </br></br> <b>Perturbed:</b> any <font color = green>kino</font> that doesn't <font color = green>further</font> in passing <font color = green>reminds</font> political <font color = green>prisons</font> , poverty and the boat loads of people who try to escape the country is less a documentary and more <font color = green>outreach</font> by <font color = green>means</font> of a valentine <font color = green>enclosed</font> with a kiss .",I DON'T KNOW
19,<font color = green>POS (99.84%)</font> --> <font color = red>NEG (86.05%)</font> </br></br> <b>Original:</b> a <font color = green>penetrating</font> <font color = green>glimpse</font> into the tissue-thin ego of the stand-up comic . </br></br> <b>Perturbed:</b> a <font color = red>shrewd</font> <font color = red>glimmer</font> into the tissue-thin ego of the stand-up comic .,CONSISTENT
20,"<font color = red>NEG (99.57%)</font> --> <font color = green>POS (59.02%)</font> </br></br> <b>Original:</b> . . . if it had been only half-an-hour long or a <font color = red>tv</font> special , the <font color = red>humor</font> <font color = red>would</font> have been <font color = red>fast</font> and furious-- at ninety <font color = red>minutes</font> , it drags . </br></br> <b>Perturbed:</b> . . . if it had been only half-an-hour long or a <font color = green>television</font> special , the <font color = green>travesty</font> <font color = green>were</font> have been <font color = green>speedily</font> and furious-- at ninety <font color = green>min</font> , it drags .",INCONSISTENT
21,"<font color = green>POS (99.92%)</font> --> <font color = red>NEG (99.83%)</font> </br></br> <b>Original:</b> it uses some of the figures from the real-life story to portray themselves in the film . the result is a <font color = green>powerful</font> , <font color = green>naturally</font> <font color = green>dramatic</font> piece of low-budget <font color = green>filmmaking</font> . </br></br> <b>Perturbed:</b> it uses some of the figures from the real-life story to portray themselves in the film . the result is a <font color = red>forte</font> , <font color = red>evidently</font> <font color = red>extreme</font> piece of low-budget <font color = red>scene</font> .",I DON'T KNOW
22,"<font color = red>NEG (99.7%)</font> --> <font color = green>POS (95.47%)</font> </br></br> <b>Original:</b> attal pushes too hard to make this a comedy or serious drama . he seems to want both , but <font color = red>succeeds</font> in making <font color = red>neither</font> . </br></br> <b>Perturbed:</b> attal pushes too hard to make this a comedy or serious drama . he seems to want both , but <font color = green>thrive</font> in making <font color = green>nor</font> .",I DON'T KNOW
23,<font color = red>NEG (99.84%)</font> --> <font color = green>POS (88.8%)</font> </br></br> <b>Original:</b> even when crush departs from the 4w formula . . . it feels like a <font color = red>glossy</font> rehash . </br></br> <b>Perturbed:</b> even when crush departs from the 4w formula . . . it feels like a <font color = green>radiant</font> rehash .,INCONSISTENT
24,"<font color = red>NEG (70.04%)</font> --> <font color = green>POS (93.6%)</font> </br></br> <b>Original:</b> this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , <font color = red>demonstrating</font> yet again that the era of the intelligent , well-made b movie is long gone . </br></br> <b>Perturbed:</b> this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , <font color = green>demonstrates</font> yet again that the era of the intelligent , well-made b movie is long gone .",CONSISTENT
25,"<font color = green>POS (99.48%)</font> --> <font color = red>NEG (74.56%)</font> </br></br> <b>Original:</b> if you can read the subtitles ( the opera is sung in italian ) and you like 'masterpiece theatre' type costumes , you'll <font color = green>enjoy</font> this <font color = green>movie</font> . </br></br> <b>Perturbed:</b> if you can read the subtitles ( the opera is sung in italian ) and you like 'masterpiece theatre' type costumes , you'll <font color = red>have</font> this <font color = red>film</font> .",I DON'T KNOW
26,"<font color = red>NEG (99.66%)</font> --> <font color = green>POS (55.47%)</font> </br></br> <b>Original:</b> not once in the <font color = red>rush</font> to <font color = red>save</font> the day did i become very involved in the <font color = red>proceedings</font> ; to me , it was just a <font color = red>matter</font> of '<font color = red>eh</font> . ' </br></br> <b>Perturbed:</b> not once in the <font color = green>precipitate</font> to <font color = green>salvaging</font> the day did i become very involved in the <font color = green>process</font> ; to me , it was just a <font color = green>respect</font> of '<font color = green>yes</font> . '",I DON'T KNOW
27,<font color = green>POS (99.91%)</font> --> <font color = red>NEG (99.64%)</font> </br></br> <b>Original:</b> it's a very <font color = green>valuable</font> film . . . </br></br> <b>Perturbed:</b> it's a very <font color = red>inestimable</font> film . . .,CONSISTENT
28,<font color = red>NEG (99.96%)</font> --> <font color = green>POS (99.96%)</font> </br></br> <b>Original:</b> <font color = red>strident</font> and <font color = red>inelegant</font> in its 'message-movie' <font color = red>posturing</font> . </br></br> <b>Perturbed:</b> <font color = green>virulent</font> and <font color = green>relentless</font> in its 'message-movie' <font color = green>grandstanding</font> .,INCONSISTENT
29,"<font color = red>NEG (99.93%)</font> --> <font color = green>POS (53.3%)</font> </br></br> <b>Original:</b> its <font color = red>impressive</font> <font color = red>images</font> of crematorium chimney fires and stacks of dead bodies are <font color = red>undermined</font> by the movie's <font color = red>presentation</font> , which is <font color = red>way</font> too stagy . </br></br> <b>Perturbed:</b> its <font color = green>admirable</font> <font color = green>portrait</font> of crematorium chimney fires and stacks of dead bodies are <font color = green>hindered</font> by the movie's <font color = green>exposures</font> , which is <font color = green>avenues</font> too stagy .",INCONSISTENT
30,"<font color = green>POS (99.83%)</font> --> <font color = red>NEG (65.27%)</font> </br></br> <b>Original:</b> scherfig , the writer-director , has made a film so unabashedly <font color = green>hopeful</font> that it <font color = green>actually</font> makes the <font color = green>heart</font> soar . yes , soar . </br></br> <b>Perturbed:</b> scherfig , the writer-director , has made a film so unabashedly <font color = red>rosy</font> that it <font color = red>virtually</font> makes the <font color = red>heartbeat</font> soar . yes , soar .",CONSISTENT
31,"<font color = red>NEG (99.24%)</font> --> <font color = green>POS (98.15%)</font> </br></br> <b>Original:</b> lyne's latest , the erotic thriller unfaithful , further demonstrates just how far his storytelling skills have <font color = red>eroded</font> . </br></br> <b>Perturbed:</b> lyne's latest , the erotic thriller unfaithful , further demonstrates just how far his storytelling skills have <font color = green>endangered</font> .",I DON'T KNOW
32,"<font color = green>POS (99.7%)</font> --> <font color = red>NEG (53.6%)</font> </br></br> <b>Original:</b> "" austin powers in goldmember "" has the right stuff for <font color = green>silly</font> summer entertainment and has enough <font color = green>laughs</font> to sustain interest to the end . </br></br> <b>Perturbed:</b> "" austin powers in goldmember "" has the right stuff for <font color = red>stupid</font> summer entertainment and has enough <font color = red>chuckles</font> to sustain interest to the end .",INCONSISTENT
33,"<font color = green>POS (99.96%)</font> --> <font color = red>NEG (97.83%)</font> </br></br> <b>Original:</b> a <font color = green>melancholy</font> , emotional <font color = green>film</font> . </br></br> <b>Perturbed:</b> a <font color = red>dismal</font> , emotional <font color = red>films</font> .",INCONSISTENT
34,"<font color = red>NEG (66.47%)</font> --> <font color = green>POS (82.2%)</font> </br></br> <b>Original:</b> if it were any more of a turkey , it would gobble in dolby digital stereo . if nothing else , "" rollerball "" 2002 may <font color = red>go</font> down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j . </br></br> <b>Perturbed:</b> if it were any more of a turkey , it would gobble in dolby digital stereo . if nothing else , "" rollerball "" 2002 may <font color = green>gonna</font> down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j .",CONSISTENT
35,<font color = red>NEG (99.72%)</font> --> <font color = green>POS (79.31%)</font> </br></br> <b>Original:</b> charly comes off as emotionally <font color = red>manipulative</font> and <font color = red>sadly</font> imitative of innumerable past love story derisions . </br></br> <b>Perturbed:</b> charly comes off as emotionally <font color = green>avaricious</font> and <font color = green>regretfully</font> imitative of innumerable past love story derisions .,CONSISTENT
36,<font color = green>POS (99.57%)</font> --> <font color = red>NEG (59.31%)</font> </br></br> <b>Original:</b> jason patric and ray liotta make for one <font color = green>splendidly</font> cast pair . </br></br> <b>Perturbed:</b> jason patric and ray liotta make for one <font color = red>insanely</font> cast pair .,CONSISTENT
37,"<font color = red>NEG (87.07%)</font> --> <font color = green>POS (94.44%)</font> </br></br> <b>Original:</b> remember back when thrillers actually thrilled ? when the twist endings were actually surprising ? when the violence actually shocked ? when the heroes were actually under 40 ? <font color = red>sadly</font> , as <font color = red>blood</font> work proves , that was a long , long time ago . </br></br> <b>Perturbed:</b> remember back when thrillers actually thrilled ? when the twist endings were actually surprising ? when the violence actually shocked ? when the heroes were actually under 40 ? <font color = green>spectacularly</font> , as <font color = green>bloodstream</font> work proves , that was a long , long time ago .",INCONSISTENT
38,"<font color = red>NEG (99.92%)</font> --> <font color = green>POS (91.12%)</font> </br></br> <b>Original:</b> though there's a clarity of purpose and even-handedness to the film's direction , the <font color = red>drama</font> <font color = red>feels</font> <font color = red>rigged</font> and sluggish . </br></br> <b>Perturbed:</b> though there's a clarity of purpose and even-handedness to the film's direction , the <font color = green>cinema</font> <font color = green>odour</font> <font color = green>forged</font> and sluggish .",CONSISTENT
39,<font color = green>POS (99.91%)</font> --> <font color = red>NEG (93.62%)</font> </br></br> <b>Original:</b> a realistically <font color = green>terrifying</font> movie that puts another notch in the <font color = green>belt</font> of the long list of renegade-cop tales . </br></br> <b>Perturbed:</b> a realistically <font color = red>dreaded</font> movie that puts another notch in the <font color = red>leashes</font> of the long list of renegade-cop tales .,CONSISTENT
40,<font color = red>NEG (99.95%)</font> --> <font color = green>POS (98.48%)</font> </br></br> <b>Original:</b> earnest yet <font color = red>curiously</font> tepid and <font color = red>choppy</font> <font color = red>recycling</font> in which predictability is the only winner . </br></br> <b>Perturbed:</b> earnest yet <font color = green>marvelously</font> tepid and <font color = green>restless</font> <font color = green>recycles</font> in which predictability is the only winner .,CONSISTENT
41,<font color = green>POS (99.96%)</font> --> <font color = red>NEG (84.45%)</font> </br></br> <b>Original:</b> a <font color = green>remarkable</font> <font color = green>film</font> by bernard rose . </br></br> <b>Perturbed:</b> a <font color = red>notable</font> <font color = red>scene</font> by bernard rose .,CONSISTENT
42,"<font color = red>NEG (99.93%)</font> --> <font color = green>POS (99.25%)</font> </br></br> <b>Original:</b> a film that presents an interesting , even <font color = red>sexy</font> <font color = red>premise</font> then <font color = red>ruins</font> itself with too many contrivances and <font color = red>goofy</font> situations . </br></br> <b>Perturbed:</b> a film that presents an interesting , even <font color = green>thrilling</font> <font color = green>asuncion</font> then <font color = green>desolation</font> itself with too many contrivances and <font color = green>zany</font> situations .",I DON'T KNOW
43,"<font color = green>POS (99.9%)</font> --> <font color = red>NEG (70.73%)</font> </br></br> <b>Original:</b> the story itself it <font color = green>mostly</font> told through on-camera interviews with several survivors , whose riveting memories are rendered with such <font color = green>clarity</font> that it's as if it all happened only yesterday . </br></br> <b>Perturbed:</b> the story itself it <font color = red>normally</font> told through on-camera interviews with several survivors , whose riveting memories are rendered with such <font color = red>clarification</font> that it's as if it all happened only yesterday .",CONSISTENT
44,<font color = red>NEG (99.82%)</font> --> <font color = green>POS (65.21%)</font> </br></br> <b>Original:</b> the <font color = red>skills</font> of a calculus major at m . i . t . are required to <font color = red>balance</font> all the formulaic <font color = red>equations</font> in the long-winded heist comedy who is cletis tout ? </br></br> <b>Perturbed:</b> the <font color = green>capabilities</font> of a calculus major at m . i . t . are required to <font color = green>reconcile</font> all the formulaic <font color = green>theorem</font> in the long-winded heist comedy who is cletis tout ?,CONSISTENT
45,<font color = red>NEG (99.83%)</font> --> <font color = green>POS (69.7%)</font> </br></br> <b>Original:</b> bean drops the ball too many times . . . <font color = red>hoping</font> the nifty premise will create enough interest to make up for an unfocused screenplay . </br></br> <b>Perturbed:</b> bean drops the ball too many times . . . <font color = green>anticipation</font> the nifty premise will create enough interest to make up for an unfocused screenplay .,CONSISTENT
46,<font color = green>POS (99.94%)</font> --> <font color = red>NEG (99.9%)</font> </br></br> <b>Original:</b> a <font color = green>tour</font> <font color = green>de</font> <font color = green>force</font> of modern <font color = green>cinema</font> . </br></br> <b>Perturbed:</b> a <font color = red>tourist</font> <font color = red>per</font> <font color = red>forces</font> of modern <font color = red>movie</font> .,I DON'T KNOW
47,"<font color = red>NEG (99.81%)</font> --> <font color = green>POS (57.48%)</font> </br></br> <b>Original:</b> how do you make a <font color = red>movie</font> with <font color = red>depth</font> about a man who lacked any ? on the <font color = red>evidence</font> before us , the answer is clear : not <font color = red>easily</font> and , in the end , not <font color = red>well</font> enough . </br></br> <b>Perturbed:</b> how do you make a <font color = green>cinema</font> with <font color = green>profound</font> about a man who lacked any ? on the <font color = green>testament</font> before us , the answer is clear : not <font color = green>lightly</font> and , in the end , not <font color = green>too</font> enough .",CONSISTENT
48,<font color = red>NEG (99.89%)</font> --> <font color = green>POS (93.29%)</font> </br></br> <b>Original:</b> [hell is] looking down at your <font color = red>watch</font> and <font color = red>realizing</font> serving sara isn't even halfway through . </br></br> <b>Perturbed:</b> [hell is] looking down at your <font color = green>watching</font> and <font color = green>understand</font> serving sara isn't even halfway through .,CONSISTENT
49,"<font color = green>POS (99.89%)</font> --> <font color = red>NEG (99.37%)</font> </br></br> <b>Original:</b> [shyamalan] <font color = green>continues</font> to cut a swathe through mainstream hollywood , while retaining an <font color = green>integrity</font> and refusing to compromise his vision . </br></br> <b>Perturbed:</b> [shyamalan] <font color = red>incessant</font> to cut a swathe through mainstream hollywood , while retaining an <font color = red>propriety</font> and refusing to compromise his vision .",CONSISTENT
50,"<font color = green>POS (99.75%)</font> --> <font color = red>NEG (62.73%)</font> </br></br> <b>Original:</b> claude chabrol's camera has a way of gently <font color = green>swaying</font> back and forth as it cradles its characters , veiling tension beneath otherwise tender movements . </br></br> <b>Perturbed:</b> claude chabrol's camera has a way of gently <font color = red>wobbling</font> back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .",INCONSISTENT
51,"<font color = red>NEG (99.89%)</font> --> <font color = green>POS (84.71%)</font> </br></br> <b>Original:</b> the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 , 000 leagues under the sea' and the george pal version of h . g . wells' 'the time machine . ' but its storytelling prowess and special effects are both <font color = red>listless</font> . </br></br> <b>Perturbed:</b> the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 , 000 leagues under the sea' and the george pal version of h . g . wells' 'the time machine . ' but its storytelling prowess and special effects are both <font color = green>languid</font> .",CONSISTENT
52,<font color = green>POS (99.34%)</font> --> <font color = red>NEG (74.92%)</font> </br></br> <b>Original:</b> . . . <font color = green>quite</font> good at providing some good old fashioned spooks . </br></br> <b>Perturbed:</b> . . . <font color = red>somewhat</font> good at providing some good old fashioned spooks .,CONSISTENT
53,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (63.88%)</font> </br></br> <b>Original:</b> the histrionic muse still <font color = red>eludes</font> madonna and , playing a charmless witch , she is <font color = red>merely</font> a charmless witch . </br></br> <b>Perturbed:</b> the histrionic muse still <font color = green>eluding</font> madonna and , playing a charmless witch , she is <font color = green>uniquely</font> a charmless witch .",INCONSISTENT
54,"<font color = green>POS (99.19%)</font> --> <font color = red>NEG (68.87%)</font> </br></br> <b>Original:</b> road to perdition does display greatness , and it's worth seeing . but it also <font color = green>comes</font> with the laziness and <font color = green>arrogance</font> of a thing that already knows it's won . </br></br> <b>Perturbed:</b> road to perdition does display greatness , and it's worth seeing . but it also <font color = red>enters</font> with the laziness and <font color = red>overconfidence</font> of a thing that already knows it's won .",CONSISTENT
55,"<font color = red>NEG (99.88%)</font> --> <font color = green>POS (82.52%)</font> </br></br> <b>Original:</b> this <font color = red>hastily</font> mounted <font color = red>production</font> <font color = red>exists</font> only to capitalize on hopkins' inclination to play hannibal lecter again , even though harris has no immediate inclination to provide a fourth book . </br></br> <b>Perturbed:</b> this <font color = green>innocently</font> mounted <font color = green>yield</font> <font color = green>be</font> only to capitalize on hopkins' inclination to play hannibal lecter again , even though harris has no immediate inclination to provide a fourth book .",CONSISTENT
56,"<font color = green>POS (96.96%)</font> --> <font color = red>NEG (64.07%)</font> </br></br> <b>Original:</b> 'if you are in the mood for an intelligent weepy , it can <font color = green>easily</font> <font color = green>worm</font> its way into your heart . ' </br></br> <b>Perturbed:</b> 'if you are in the mood for an intelligent weepy , it can <font color = red>conveniently</font> <font color = red>ver</font> its way into your heart . '",CONSISTENT
57,<font color = green>POS (99.93%)</font> --> <font color = red>NEG (99.66%)</font> </br></br> <b>Original:</b> <font color = green>intriguing</font> and stylish . </br></br> <b>Perturbed:</b> <font color = red>puzzling</font> and stylish .,INCONSISTENT
58,<font color = green>POS (99.9%)</font> --> <font color = red>NEG (53.28%)</font> </br></br> <b>Original:</b> an <font color = green>ideal</font> <font color = green>love</font> story for those intolerant of the more common saccharine genre . </br></br> <b>Perturbed:</b> an <font color = red>eyesight</font> <font color = red>iove</font> story for those intolerant of the more common saccharine genre .,I DON'T KNOW
59,<font color = green>POS (98.66%)</font> --> <font color = red>NEG (98.72%)</font> </br></br> <b>Original:</b> the <font color = green>rare</font> imax movie that you'll wish was longer than an hour . </br></br> <b>Perturbed:</b> the <font color = red>uncommon</font> imax movie that you'll wish was longer than an hour .,CONSISTENT
60,<font color = red>NEG (69.73%)</font> --> <font color = green>POS (92.86%)</font> </br></br> <b>Original:</b> two <font color = red>hours</font> of sepia-tinted heavy metal images and surround sound effects of people <font color = red>moaning</font> . </br></br> <b>Perturbed:</b> two <font color = green>hour</font> of sepia-tinted heavy metal images and surround sound effects of people <font color = green>griping</font> .,CONSISTENT
61,"<font color = green>POS (99.87%)</font> --> <font color = red>NEG (72.36%)</font> </br></br> <b>Original:</b> cockettes has the <font color = green>glorious</font> , gaudy <font color = green>benefit</font> of much stock <font color = green>footage</font> of those days , featuring all manner of drag queen , bearded lady and lactating hippie . </br></br> <b>Perturbed:</b> cockettes has the <font color = red>sublime</font> , gaudy <font color = red>dividend</font> of much stock <font color = red>video</font> of those days , featuring all manner of drag queen , bearded lady and lactating hippie .",CONSISTENT
62,"<font color = green>POS (99.42%)</font> --> <font color = red>NEG (83.89%)</font> </br></br> <b>Original:</b> while it's nothing we haven't seen before from murphy , i spy is still fun and enjoyable and so <font color = green>aggressively</font> <font color = green>silly</font> that it's more than a worthwhile effort . </br></br> <b>Perturbed:</b> while it's nothing we haven't seen before from murphy , i spy is still fun and enjoyable and so <font color = red>flatly</font> <font color = red>laughable</font> that it's more than a worthwhile effort .",INCONSISTENT
63,<font color = green>POS (99.77%)</font> --> <font color = red>NEG (81.4%)</font> </br></br> <b>Original:</b> 'tobey maguire is a <font color = green>poster</font> boy for the <font color = green>geek</font> generation . ' </br></br> <b>Perturbed:</b> 'tobey maguire is a <font color = red>signage</font> boy for the <font color = red>nerd</font> generation . ',CONSISTENT
64,"<font color = green>POS (99.12%)</font> --> <font color = red>NEG (90.59%)</font> </br></br> <b>Original:</b> <font color = green>examines</font> its explosive subject matter as nonjudgmentally as wiseman's previous studies of inner-city high schools , hospitals , courts and welfare centers . </br></br> <b>Perturbed:</b> <font color = red>survey</font> its explosive subject matter as nonjudgmentally as wiseman's previous studies of inner-city high schools , hospitals , courts and welfare centers .",CONSISTENT
65,"<font color = green>POS (99.67%)</font> --> <font color = red>NEG (97.97%)</font> </br></br> <b>Original:</b> oh , james ! your 20th outing shows off a lot of stamina and vitality , and get this , madonna's cameo doesn't <font color = green>suck</font> ! </br></br> <b>Perturbed:</b> oh , james ! your 20th outing shows off a lot of stamina and vitality , and get this , madonna's cameo doesn't <font color = red>suckle</font> !",INCONSISTENT
66,<font color = red>NEG (99.79%)</font> --> <font color = green>POS (99.65%)</font> </br></br> <b>Original:</b> this 90-minute dud <font color = red>could</font> <font color = red>pass</font> for <font color = red>mike</font> tyson's e ! true hollywood story . </br></br> <b>Perturbed:</b> this 90-minute dud <font color = green>got</font> <font color = green>passage</font> for <font color = green>micheal</font> tyson's e ! true hollywood story .,I DON'T KNOW
67,"<font color = green>POS (99.83%)</font> --> <font color = red>NEG (73.64%)</font> </br></br> <b>Original:</b> as relationships <font color = green>shift</font> , <font color = green>director</font> robert j . <font color = green>siegel</font> <font color = green>allows</font> the characters to inhabit their world without cleaving to a narrative arc . </br></br> <b>Perturbed:</b> as relationships <font color = red>switching</font> , <font color = red>manager</font> robert j . <font color = red>glaser</font> <font color = red>permissions</font> the characters to inhabit their world without cleaving to a narrative arc .",I DON'T KNOW
68,<font color = green>POS (99.6%)</font> --> <font color = red>NEG (62.24%)</font> </br></br> <b>Original:</b> this submarine <font color = green>drama</font> earns the right to be <font color = green>favorably</font> <font color = green>compared</font> to das boot . </br></br> <b>Perturbed:</b> this submarine <font color = red>cinemas</font> earns the right to be <font color = red>actively</font> <font color = red>likened</font> to das boot .,I DON'T KNOW
69,"<font color = red>NEG (99.89%)</font> --> <font color = green>POS (99.77%)</font> </br></br> <b>Original:</b> essentially , the film is <font color = red>weak</font> on detail and strong on personality </br></br> <b>Perturbed:</b> essentially , the film is <font color = green>helpless</font> on detail and strong on personality",CONSISTENT
70,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (53.69%)</font> </br></br> <b>Original:</b> it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many <font color = red>talented</font> people were <font color = red>convinced</font> to <font color = red>waste</font> their time . </br></br> <b>Perturbed:</b> it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many <font color = green>gifted</font> people were <font color = green>convincing</font> to <font color = green>residues</font> their time .",CONSISTENT
